litry;prumer;stena;takt;takt_plan;pracoviste_id
40;229;3;75;86,3;DL Obróbka cieplna
40;229;3,3;75;86,3;DL Obróbka cieplna
26,8;229;4;72;82,8;DL Obróbka cieplna
50;229;4,1;77;88,6;DL Obróbka cieplna
33,4;229;4,2;74;85,1;DL Obróbka cieplna
50;229;4,8;78;89,7;DL Obróbka cieplna
40;229;5,2;75;86,3;DL Obróbka cieplna
50;229;5,2;79;90,9;DL Obróbka cieplna
50;229;5,6;79;90,9;DL Obróbka cieplna
50;229;6;80;92,0;DL Obróbka cieplna
50;229;6,2;80;92,0;DL Obróbka cieplna
50;229;7,3;80;92,0;DL Obróbka cieplna
50;229;8,1;90;103,5;DL Obróbka cieplna
50;229;8,5;90;103,5;DL Obróbka cieplna
50;229;9,2;97;111,6;DL Obróbka cieplna
50;229;9,8;104;119,6;DL Obróbka cieplna
30,5;237;4,3;77;88,6;DL Obróbka cieplna
34,6;244;4,4;72;82,8;DL Obróbka cieplna
67,5;267;4,4;80;92,0;DL Obróbka cieplna
67,5;267;4,9;80;92,0;DL Obróbka cieplna
67,5;267;5,2;80;92,0;DL Obróbka cieplna
67,5;267;5,65;80;92,0;DL Obróbka cieplna
80;267;5,65;84;96,6;DL Obróbka cieplna
80;267;7;92;105,8;DL Obróbka cieplna
80;267;7,5;95;109,3;DL Obróbka cieplna
29;273;4,9;72;82,8;DL Obróbka cieplna
26;280;5,1;40;46,0;DL Obróbka cieplna
100;316;4,9;80;92,0;DL Obróbka cieplna
80;316;6,6;80;92,0;DL Obróbka cieplna
36;320;5,7;70;80,5;DL Obróbka cieplna
80;320;5,7;75;86,3;DL Obróbka cieplna
95;320;5,7;77;88,6;DL Obróbka cieplna
118;320;5,7;82;94,3;DL Obróbka cieplna
