litry;prumer;stena;takt;takt_plan;pracoviste_id
13,4;204;3,6;65;74,8;DL BANFI
20;204;3;70;80,5;DL BANFI
20;204;3,8;70;80,5;DL BANFI
20;204;4,1;70;80,5;DL BANFI
40;229;3;90;103,5;DL BANFI
40;229;3,3;90;103,5;DL BANFI
26,8;229;4;75;86,3;DL BANFI
50;229;4,1;105;120,8;DL BANFI
33,4;229;4,2;80;92,0;DL BANFI
50;229;4,8;105;120,8;DL BANFI
40;229;5,2;90;103,5;DL BANFI
50;229;5,2;105;120,8;DL BANFI
50;229;5,6;105;120,8;DL BANFI
50;229;6;105;120,8;DL BANFI
50;229;6,2;105;120,8;DL BANFI
50;229;7,3;105;120,8;DL BANFI
50;229;8,1;105;120,8;DL BANFI
50;229;8,5;105;120,8;DL BANFI
50;229;9,2;105;120,8;DL BANFI
50;229;9,8;105;120,8;DL BANFI
30,5;237;4,3;80;92,0;DL BANFI
34,6;244;4,4;85;97,8;DL BANFI
67,5;267;4,4;105;120,8;DL BANFI
67,5;267;4,9;105;120,8;DL BANFI
67,5;267;5,2;105;120,8;DL BANFI
67,5;267;5,65;105;120,8;DL BANFI
80;267;5,65;130;149,5;DL BANFI
80;267;7;130;149,5;DL BANFI
80;267;7,5;130;149,5;DL BANFI
29;273;4,9;85;97,8;DL BANFI
26;280;5,1;80;92,0;DL BANFI
100;316;4,9;160;184,0;DL BANFI
80;316;6,6;125;143,8;DL BANFI
80;320;5,7;125;143,8;DL BANFI
95;320;5,7;145;166,8;DL BANFI
118;320;5,7;185;212,8;DL BANFI
60;360;7,0;120;138,0;DL BANFI
75;360;7,0;130;149,5;DL BANFI
90;360;7,0;155;178,3;DL BANFI
115;360;7,0;200;230,0;DL BANFI
