litry;prumer;stena;takt;takt_plan;pracoviste_id
40;229;3,3;115;132,3;EN-600 Kotrubcik
40;229;4;115;132,3;EN-600 Kotrubcik
26,8;229;4,1;105;120,8;EN-600 Kotrubcik
50;229;4,2;105;120,8;EN-600 Kotrubcik
33,4;229;4,8;105;120,8;EN-600 Kotrubcik
50;229;5,2;105;120,8;EN-600 Kotrubcik
40;229;5,2;105;120,8;EN-600 Kotrubcik
50;229;5,6;105;120,8;EN-600 Kotrubcik
50;229;6;105;120,8;EN-600 Kotrubcik
50;229;6,2;105;120,8;EN-600 Kotrubcik
50;229;7,3;105;120,8;EN-600 Kotrubcik
50;229;8,1;105;120,8;EN-600 Kotrubcik
50;229;8,5;110;126,5;EN-600 Kotrubcik
50;229;9,2;110;126,5;EN-600 Kotrubcik
50;229;9,8;120;138,0;EN-600 Kotrubcik
50;229;4,3;120;138,0;EN-600 Kotrubcik
30,5;237;4,4;110;126,5;EN-600 Kotrubcik
34,6;244;4,4;110;126,5;EN-600 Kotrubcik
67,5;267;4,9;120;138,0;EN-600 Kotrubcik
67,5;267;5,2;120;138,0;EN-600 Kotrubcik
67,5;267;5,65;120;138,0;EN-600 Kotrubcik
67,5;267;5,65;120;138,0;EN-600 Kotrubcik
80;267;7;120;138,0;EN-600 Kotrubcik
80;267;7,5;120;138,0;EN-600 Kotrubcik
80;267;4,9;120;138,0;EN-600 Kotrubcik
29;273;5,1;120;138,0;EN-600 Kotrubcik
26;280;4,9;0;0;EN-500 Kotrubcik
100;316;6,6;165;189,8;EN-500 Kotrubcik
80;316;5,7;165;189,8;EN-500 Kotrubcik
80;320;5,7;150;172,5;EN-500 Kotrubcik
95;320;5,7;150;172,5;EN-500 Kotrubcik
118;320;7,0;150;172,5;EN-500 Kotrubcik
60;360;7,0;155;178,3;EN-500 Kotrubcik
75;360;7,0;155;178,3;EN-500 Kotrubcik
90;360;7,0;155;178,3;EN-500 Kotrubcik
115;360;7,0;155;178,3;EN-500 Kotrubcik
