litry;prumer;stena;takt;takt_plan;pracoviste_id
5;140;2,45;65;74,8;Kotrubcik
5;140;2,45;65;74,8;Kotrubcik
10;140;2,45;65;74,8;Kotrubcik
13,4;140;2,45;65;74,8;Kotrubcik
6;140;2,7;65;74,8;Kotrubcik
5;140;2,8;65;74,8;Kotrubcik
5;140;2,8;65;74,8;Kotrubcik
7,5;140;2,8;65;74,8;Kotrubcik
10;140;2,8;65;74,8;Kotrubcik
13,4;140;2,8;65;74,8;Kotrubcik
5;140;3,1;65;74,8;Kotrubcik
5;140;3,1;65;74,8;Kotrubcik
6,7;140;3,1;65;74,8;Kotrubcik
7;140;3,1;65;74,8;Kotrubcik
8;140;3,1;65;74,8;Kotrubcik
10;140;3,1;65;74,8;Kotrubcik
13,4;140;3,1;65;74,8;Kotrubcik
10;140;3,3;65;74,8;Kotrubcik
5;140;3,4;65;74,8;Kotrubcik
5;140;3,4;65;74,8;Kotrubcik
9;140;3,4;65;74,8;Kotrubcik
10;140;3,4;65;74,8;Kotrubcik
6,8;140;3,5;65;74,8;Kotrubcik
4;140;3,7;65;74,8;Kotrubcik
5;140;3,7;65;74,8;Kotrubcik
6;140;3,7;65;74,8;Kotrubcik
7;140;3,7;65;74,8;Kotrubcik
10;140;3,7;65;74,8;Kotrubcik
5;140;3,95;65;74,8;Kotrubcik
6;140;3,95;65;74,8;Kotrubcik
8;140;3,95;65;74,8;Kotrubcik
10;140;3,95;65;74,8;Kotrubcik
10;160;2,8;65;74,8;Kotrubcik
10;160;3,4;65;74,8;Kotrubcik
10;160;3,4;65;74,8;Kotrubcik
14;160;3,4;65;74,8;Kotrubcik
10;160;3,9;65;74,8;Kotrubcik
10;171;3,45;90;103,5;EN500 
10;171;3,45;90;103,5;EN500 
8;171;3,6;95;109,3;EN500 
8;171;3,6;95;109,3;EN500 
8;178;3,1;90;103,5;EN500 
10;178;3,1;90;103,5;EN500 
8;178;3,2;90;103,5;EN500 
8;178;3,2;90;103,5;EN500 
10;178;3,2;90;103,5;EN500 
11;178;3,2;90;103,5;EN500 
8;178;3,6;95;109,3;EN500 
8;178;3,6;95;109,3;EN500 
8,3;178;3,7;95;109,3;EN500 
8,3;178;3,7;95;109,3;EN500 
10,8;178;3,7;95;109,3;EN500 
14;178;3,7;95;109,3;EN500 
15,75;178;3,7;95;109,3;EN500 
10;178;4,4;100;115;EN500 
10;178;4,65;100;115;EN500 
12;178;4,65;100;115;EN500 
8;178;4,8;100;115;EN500 
15;178;4,9;100;115;EN500 
10;178;6,7;110;126,5;EN500 
10;178;6,7;110;126,5;EN500 
15;178;6,7;110;126,5;EN500 
12;204;3;90;103,5;EN500 
13,4;204;3,4;90;103,5;EN500 
10,7;204;3,6;95;109,3;EN500 
13,4;204;3,6;95;109,3;EN500 
20;204;3,6;95;109,3;EN500 
10,7;204;3,8;95;109,3;EN500 
13,4;204;3,8;95;109,3;EN500 
20;204;3,8;95;109,3;EN500 
10,7;204;4,1;95;109,3;EN500 
13,4;204;4,1;95;109,3;EN500 
20;204;4,1;95;109,3;EN500 
13,4;204;4,8;100;115;EN500 
15;204;5,6;110;126,5;EN500 
40;229;3;115;132,3;EN500 
40;229;3,3;115;132,3;EN500 
26,8;229;4;105;120,8;EN500 
50;229;4,1;105;120,8;EN500 
33,4;229;4,2;105;120,8;EN500 
50;229;4,8;105;120,8;EN500 
40;229;5,2;110;126,5;EN500 
50;229;5,2;110;126,5;EN500 
50;229;5,6;110;126,5;EN500 
50;229;6;115;132,3;EN500 
50;229;6,2;115;132,3;EN500 
50;229;7,3;115;132,3;EN500 
50;229;8,1;120;138;EN500 
50;229;8,5;120;138;EN500 
50;229;9,2;120;138;EN500 
50;229;9,8;120;138;EN500 
30,5;237;4,3;110;126,5;EN
34,6;244;4,4;110;126,5;EN
67,5;267;4,4;110;126,5;EN
67,5;267;4,9;110;126,5;EN
67,5;267;5,2;115;132,3;EN
67,5;267;5,65;115;132,3;EN
80;267;5,65;115;132,3;EN
80;267;7;120;138;EN
80;267;7,5;120;138;EN
29;273;4,9;110;126,5;EN
26;280;5,1;150;172,5;EN
