litry;prumer;stena;takt;takt_plan;pracoviste_id
40;229;3;90;112,5;DL PRASY
40;229;3,3;90;112,5;DL PRASY
26,8;229;4;90;112,5;DL PRASY
50;229;4,1;90;112,5;DL PRASY
33,4;229;4,2;90;112,5;DL PRASY
50;229;4,8;92;115,0;DL PRASY
40;229;5,2;90;112,5;DL PRASY
50;229;5,2;93;116,3;DL PRASY
50;229;5,6;93;116,3;DL PRASY
50;229;6;95;118,8;DL PRASY
50;229;6,2;98;122,5;DL PRASY
50;229;7,3;105;131,3;DL PRASY
50;229;8,1;110;137,5;DL PRASY
50;229;8,5;110;137,5;DL PRASY
50;229;9,2;115;143,8;DL PRASY
50;229;9,8;120;150,0;DL PRASY
30,5;237;4,3;90;112,5;DL PRASY
34,6;244;4,4;90;112,5;DL PRASY
67,5;267;4,4;105;131,3;DL PRASY
67,5;267;4,9;110;137,5;DL PRASY
67,5;267;5,2;110;137,5;DL PRASY
67,5;267;5,65;110;137,5;DL PRASY
80;267;5,65;115;143,8;DL PRASY
80;267;7;120;150,0;DL PRASY
80;267;7,5;120;150,0;DL PRASY
29;273;4,9;90;112,5;DL PRASY
26;280;5,1;90;112,5;DL PRASY
100;316;4,9;120;150,0;DL PRASY
80;316;6,6;120;150,0;DL PRASY
36;320;5,7;95;118,8;DL PRASY
80;320;5,7;115;143,8;DL PRASY
95;320;5,7;120;150,0;DL PRASY
118;320;5,7;120;150,0;DL PRASY
