litry;prumer;stena;takt;takt_plan;pracoviste_id
5;140;2,45;0;0;ML PRASY
5;140;2,45;70;87,5;ML PRASY
10;140;2,45;72;90;ML PRASY
13,4;140;2,45;74;92,5;ML PRASY
6;140;2,7;70;87,5;ML PRASY
5;140;2,8;0;0;ML PRASY
5;140;2,8;70;87,5;ML PRASY
7,5;140;2,8;70;87,5;ML PRASY
10;140;2,8;72;90;ML PRASY
13,4;140;2,8;74;92,5;ML PRASY
5;140;3,1;0;0;ML PRASY
5;140;3,1;70;87,5;ML PRASY
6,7;140;3,1;70;87,5;ML PRASY
7;140;3,1;70;87,5;ML PRASY
8;140;3,1;70;87,5;ML PRASY
10;140;3,1;72;90;ML PRASY
13,4;140;3,1;74;92,5;ML PRASY
10;140;3,3;72;90;ML PRASY
5;140;3,4;0;0;ML PRASY
5;140;3,4;70;87,5;ML PRASY
9;140;3,4;70;87,5;ML PRASY
10;140;3,4;72;90;ML PRASY
6,8;140;3,5;70;87,5;ML PRASY
4;140;3,7;0;0;ML PRASY
5;140;3,7;70;87,5;ML PRASY
6;140;3,7;70;87,5;ML PRASY
7;140;3,7;70;87,5;ML PRASY
10;140;3,7;74;92,5;ML PRASY
5;140;3,95;0;0;ML PRASY
6;140;3,95;70;87,5;ML PRASY
8;140;3,95;70;87,5;ML PRASY
10;140;3,95;74;92,5;ML PRASY
10;160;2,8;72;90;ML PRASY
10;160;3,4;0;0;ML PRASY
10;160;3,4;72;90;ML PRASY
14;160;3,4;74;92,5;ML PRASY
10;160;3,9;74;92,5;ML PRASY
10;171;3,45;0;0;ML PRASY
10;171;3,45;72;90;ML PRASY
8;171;3,6;0;0;ML PRASY
8;171;3,6;72;90;ML PRASY
8;178;3,1;0;0;ML PRASY
10;178;3,1;72;90;ML PRASY
8;178;3,2;0;0;ML PRASY
8;178;3,2;72;90;ML PRASY
10;178;3,2;72;90;ML PRASY
11;178;3,2;72;90;ML PRASY
8;178;3,6;0;0;ML PRASY
8;178;3,6;74;92,5;ML PRASY
8,3;178;3,7;0;0;ML PRASY
8,3;178;3,7;76;95;ML PRASY
10,8;178;3,7;78;97,5;ML PRASY
14;178;3,7;79;98,8;ML PRASY
15,75;178;3,7;82;102,5;ML PRASY
10;178;4,4;79;98,8;ML PRASY
10;178;4,65;0;0;ML PRASY
12;178;4,65;80;100;ML PRASY
8;178;4,8;0;0;ML PRASY
15;178;4,9;85;106,3;ML PRASY
10;178;6,7;0;0;ML PRASY
10;178;6,7;88;110;ML PRASY
15;178;6,7;90;112,5;ML PRASY
12;204;3;86;107,5;ML PRASY
13,4;204;3,4;88;110;ML PRASY
10,7;204;3,6;0;0;ML PRASY
13,4;204;3,6;88;110;ML PRASY
20;204;3,6;90;112,5;ML PRASY
10,7;204;3,8;0;0;ML PRASY
13,4;204;3,8;88;110;ML PRASY
20;204;3,8;90;112,5;ML PRASY
10,7;204;4,1;0;0;ML PRASY
13,4;204;4,1;88;110;ML PRASY
20;204;4,1;90;112,5;ML PRASY
13,4;204;4,8;90;112,5;ML PRASY
15;204;5,6;93;116,3;ML PRASY
